Stimuli,Condition,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_4.keys,key_resp_4.corr,session,participant,date,exp_name,frameRate,
,,,,,,,None,,,001,Hojjat,2022_Apr_13_1549,DecoderConst_fMRI,59.9473176448729,
12_2_1.png,mouse,None,0,0,0,0,,None,0,001,Hojjat,2022_Apr_13_1549,DecoderConst_fMRI,59.9473176448729,
