Stimuli,Condition,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,session,participant,date,exp_name,frameRate,
,,,,,,,None,,,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
7_1_5.png,bee,None,0,0,0,0,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
7_1_8.png,bee,None,0,1,1,1,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
7_1_2.png,bee,None,0,2,2,2,,['t'],0,[0.00021600723266601562],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
7_1_12.png,bee,None,0,3,3,3,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
36_1_4.png,key,right,0,4,4,4,,['t'],0,[0.00011301040649414062],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
36_1_7.png,key,None,0,5,5,5,,['right'],0,[0.00010800361633300781],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
36_1_11.png,key,None,0,6,6,6,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
36_1_14.png,key,None,0,7,7,7,,['t'],0,[0.0001308917999267578],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
36_1_5.png,key,None,0,8,8,8,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
36_1_2.png,key,None,0,9,9,9,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
30_1_10.png,dolphin,right,0,10,10,10,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
30_1_8.png,dolphin,None,0,11,11,11,,['right'],0,[0.0002617835998535156],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
3_1_3.png,cockroach,right,0,12,12,12,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
3_1_7.png,cockroach,None,0,13,13,13,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
3_1_10.png,cockroach,None,0,14,14,14,,['right'],0,[0.00014495849609375],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
3_1_13.png,cockroach,None,0,15,15,15,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
3_1_9.png,cockroach,None,0,16,16,16,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
3_1_5.png,cockroach,None,0,17,17,17,,['right'],0,[0.0001239776611328125],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
11_1_1.png,chicken,right,0,18,18,18,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
11_1_2.png,chicken,None,0,19,19,19,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
11_1_3.png,chicken,None,0,20,20,20,,['right'],0,[0.00010180473327636719],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
5_1_1.png,spider,right,0,21,21,21,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
5_1_2.png,spider,None,0,22,22,22,,['right'],0,[0.0001270771026611328],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
32_1_13.png,car,right,0,23,23,23,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
32_1_14.png,car,None,0,24,24,24,,['right'],0,[0.00010800361633300781],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
32_1_15.png,car,None,0,25,25,25,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
20_1_1.png,beatle,right,0,26,26,26,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
20_1_14.png,beatle,None,0,27,27,27,,['right'],0,[0.00012111663818359375],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
20_1_3.png,beatle,None,0,28,28,28,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
20_1_11.png,beatle,None,0,29,29,29,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
20_1_5.png,beatle,None,0,30,30,30,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
20_1_6.png,beatle,None,0,31,31,31,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
24_1_3.png,peacock,right,0,32,32,32,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
24_1_7.png,peacock,None,0,33,33,33,,['right'],0,[0.0001480579376220703],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
24_1_10.png,peacock,None,0,34,34,34,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
24_1_13.png,peacock,None,0,35,35,35,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
24_1_15.png,peacock,None,0,36,36,36,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
24_1_6.png,peacock,None,0,37,37,37,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
19_1_1.png,turtle,right,0,38,38,38,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
19_1_2.png,turtle,None,0,39,39,39,,['right'],0,[0.00011706352233886719],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
