Stimuli,Condition,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_2.keys,session,participant,date,exp_name,frameRate,
,,,,,,,None,,,,,002,S003,2022_May_26_1434,DecoderConst_fMRI,59.94988815596704,
12_2_1.png,mouse,None,0,0,0,0,,None,0,,,002,S003,2022_May_26_1434,DecoderConst_fMRI,59.94988815596704,
12_2_2.png,mouse,None,0,1,1,1,,None,0,,,002,S003,2022_May_26_1434,DecoderConst_fMRI,59.94988815596704,
12_2_3.png,mouse,None,0,2,2,2,,['t'],0,[0.0002288818359375],,002,S003,2022_May_26_1434,DecoderConst_fMRI,59.94988815596704,
12_2_4.png,mouse,None,0,3,3,3,,None,0,,,002,S003,2022_May_26_1434,DecoderConst_fMRI,59.94988815596704,
12_2_5.png,mouse,None,0,4,4,4,,None,0,,,002,S003,2022_May_26_1434,DecoderConst_fMRI,59.94988815596704,
12_2_6.png,mouse,None,0,5,5,5,,['t'],0,[0.00012302398681640625],,002,S003,2022_May_26_1434,DecoderConst_fMRI,59.94988815596704,
27_2_1.png,rabbit,right,0,6,6,6,,None,0,,,002,S003,2022_May_26_1434,DecoderConst_fMRI,59.94988815596704,
27_2_2.png,rabbit,None,0,7,7,7,,['t'],0,[0.00011897087097167969],,002,S003,2022_May_26_1434,DecoderConst_fMRI,59.94988815596704,
27_2_3.png,rabbit,None,0,8,8,8,,None,0,,,002,S003,2022_May_26_1434,DecoderConst_fMRI,59.94988815596704,
27_2_4.png,rabbit,None,0,9,9,9,,None,0,,,002,S003,2022_May_26_1434,DecoderConst_fMRI,59.94988815596704,
27_2_5.png,rabbit,None,0,10,10,10,,None,0,,,002,S003,2022_May_26_1434,DecoderConst_fMRI,59.94988815596704,
27_2_6.png,rabbit,None,0,11,11,11,,None,0,,,002,S003,2022_May_26_1434,DecoderConst_fMRI,59.94988815596704,
23_2_1.png,fly,right,0,12,12,12,,None,0,,,002,S003,2022_May_26_1434,DecoderConst_fMRI,59.94988815596704,
