Stimuli,Condition,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_2.keys,session,participant,date,exp_name,frameRate,
,,,,,,,None,,,,,001,S005,2022_May_26_1614,DecoderConst_fMRI,59.98546952318298,
7_1_5.png,bee,None,0,0,0,0,,None,0,,,001,S005,2022_May_26_1614,DecoderConst_fMRI,59.98546952318298,
7_1_8.png,bee,None,0,1,1,1,,None,0,,,001,S005,2022_May_26_1614,DecoderConst_fMRI,59.98546952318298,
7_1_2.png,bee,None,0,2,2,2,,['t'],0,[0.00021600723266601562],,001,S005,2022_May_26_1614,DecoderConst_fMRI,59.98546952318298,
7_1_12.png,bee,None,0,3,3,3,,None,0,,,001,S005,2022_May_26_1614,DecoderConst_fMRI,59.98546952318298,
36_1_4.png,key,right,0,4,4,4,,['t'],0,[0.00011587142944335938],,001,S005,2022_May_26_1614,DecoderConst_fMRI,59.98546952318298,
36_1_7.png,key,None,0,5,5,5,,None,0,,,001,S005,2022_May_26_1614,DecoderConst_fMRI,59.98546952318298,
36_1_11.png,key,None,0,6,6,6,,None,0,,,001,S005,2022_May_26_1614,DecoderConst_fMRI,59.98546952318298,
36_1_14.png,key,None,0,7,7,7,,['t'],0,[0.00014901161193847656],,001,S005,2022_May_26_1614,DecoderConst_fMRI,59.98546952318298,
36_1_5.png,key,None,0,8,8,8,,None,0,,,001,S005,2022_May_26_1614,DecoderConst_fMRI,59.98546952318298,
36_1_2.png,key,None,0,9,9,9,,None,0,,,001,S005,2022_May_26_1614,DecoderConst_fMRI,59.98546952318298,
30_1_10.png,dolphin,right,0,10,10,10,,None,0,,,001,S005,2022_May_26_1614,DecoderConst_fMRI,59.98546952318298,
30_1_8.png,dolphin,None,0,11,11,11,,None,0,,,001,S005,2022_May_26_1614,DecoderConst_fMRI,59.98546952318298,
3_1_3.png,cockroach,right,0,12,12,12,,None,0,,,001,S005,2022_May_26_1614,DecoderConst_fMRI,59.98546952318298,
3_1_7.png,cockroach,None,0,13,13,13,,None,0,,,001,S005,2022_May_26_1614,DecoderConst_fMRI,59.98546952318298,
3_1_10.png,cockroach,None,0,14,14,14,,None,0,,,001,S005,2022_May_26_1614,DecoderConst_fMRI,59.98546952318298,
3_1_13.png,cockroach,None,0,15,15,15,,None,0,,,001,S005,2022_May_26_1614,DecoderConst_fMRI,59.98546952318298,
